species	MMR	Qdot
Anas_sp	9.977	0.000689909741297124
Columba_sp	56.683	0.000283703044785971
Coturnix_sp	20.502	0.000169226234434277
Eudyptula_minor	9.199	0.000482086898575749
Haliaeetus_leucocephalus	2.538	0.007937333686313840
Larus_argentatus	5.345	0.001650619832999650
Phalacrocorax_sp	4.510	0.001611791320954240
Tyrannus_sp	20.256	0.000016449112877421
Eoalulavis_MCCM_LH_13500	NA	0.000060566167187059
Crocodylus_porosus	0.856	0.0019551349478
Alligator_mississippiensis	0.910	0.0004157381922
Crocodylus_niloticus	0.904	0.0002780722221
Sturnus_sp	10.857	0.000016449112877421
Corvus_sp	33.210	0.005302293641454260
Pelecanus_sp	10.316	0.003043021878431880
Falco_sp	26.668	0.000633628348519874

